nodenumber     x-coordinate     y-coordinate     z-coordinate      temperature 
       236 -1.349408085E-10  1.613201760E-02  5.200000107E-02  3.731121826E+02 
       237 -3.621303257E-11  2.033977024E-02  5.200000107E-02  3.730994263E+02 
       238 -1.927323190E-09  2.500000037E-02  5.200000107E-02  3.730865173E+02 
       239 -1.176340275E-10 -2.500000037E-02  5.600000173E-02  3.730866699E+02 
       240 -8.871894885E-11 -2.035816014E-02  5.600000173E-02  3.730997620E+02 
       241 -5.399822256E-11 -1.615167223E-02  5.600000173E-02  3.731129150E+02 
       242 -5.579825491E-11 -1.219676808E-02  5.600000173E-02  3.731242371E+02 
       243 -2.298324725E-11 -8.720454760E-03  5.600000173E-02  3.731321411E+02 
       244  3.148260819E-11 -5.612934474E-03  5.600000173E-02  3.731371155E+02 
       245  9.201336915E-11 -5.501045380E-03  5.600000173E-02  3.731372375E+02 
       246  6.434659749E-11 -2.388990717E-03  5.600000173E-02  3.731397705E+02 
       247 -8.959662873E-12 -3.428673372E-04  5.600000173E-02  3.731404114E+02 
       248 -2.698119506E-12  6.292769103E-05  5.600000173E-02  3.731404724E+02 
       249 -3.519674829E-11  3.070792882E-03  5.600000173E-02  3.731387939E+02 
       250 -3.651314667E-11  5.433392711E-03  5.600000173E-02  3.731363220E+02 
       251 -9.947209723E-12  7.411433384E-03  5.600000173E-02  3.731336060E+02 
       252  2.649799824E-10  1.187863015E-02  5.600000173E-02  3.731243286E+02 
       253 -1.058369781E-10  1.613201760E-02  5.600000173E-02  3.731126709E+02 
       254  1.108069192E-11  2.033977024E-02  5.600000173E-02  3.730997620E+02 
       255 -1.848641018E-09  2.500000037E-02  5.600000173E-02  3.730865784E+02 
       256 -1.963161578E-10 -2.500000037E-02  5.999999866E-02  3.730867920E+02 
       257 -1.469266098E-10 -2.035816014E-02  6.000000238E-02  3.731000977E+02 
       258 -6.086339766E-12 -1.615167223E-02  5.999999866E-02  3.731133423E+02 
       259 -5.579825491E-11 -1.219676808E-02  6.000000611E-02  3.731248169E+02 
       260 -2.298324725E-11 -8.720454760E-03  6.000000238E-02  3.731327515E+02 
       261  2.602563998E-11 -5.612934474E-03  6.000000238E-02  3.731376343E+02 
       262  8.655640094E-11 -5.501045380E-03  6.000000238E-02  3.731378174E+02 
       263  6.434659749E-11 -2.388990717E-03  6.000000238E-02  3.731403198E+02 
       264 -5.321684066E-12 -3.428673372E-04  6.000000238E-02  3.731409607E+02 
       265 -2.902650342E-12  6.292766921E-05  6.000000238E-02  3.731410217E+02 
       266 -3.519674829E-11  3.070792882E-03  6.000000238E-02  3.731393127E+02 
       267 -3.651314667E-11  5.433392711E-03  6.000000238E-02  3.731368713E+02 
       268 -9.947209723E-12  7.411433384E-03  6.000000238E-02  3.731341858E+02 
       269 -1.731449983E-10  1.187863108E-02  6.000000238E-02  3.731249390E+02 
       270 -7.673314761E-11  1.613201760E-02  6.000000238E-02  3.731131897E+02 
       271 -1.539551264E-10  2.033977024E-02  6.000000238E-02  3.731000977E+02 
       272 -1.769958957E-09  2.500000037E-02  5.999999866E-02  3.730867310E+02 
       273 -2.749983019E-10 -2.500000037E-02  6.400000304E-02  3.730869446E+02 
       274 -2.051342707E-10 -2.035816014E-02  6.400000304E-02  3.731004639E+02 
       275 -1.225016616E-10 -1.615167223E-02  6.400000304E-02  3.731138916E+02 
       276 -5.579825491E-11 -1.219676808E-02  6.400000304E-02  3.731254578E+02 
       277 -2.298324725E-11 -8.720454760E-03  6.400000304E-02  3.731333923E+02 
       278  4.197767134E-12 -5.612934474E-03  6.400000304E-02  3.731382141E+02 
       279  6.472852809E-11 -5.501045380E-03  6.400000304E-02  3.731383972E+02 
       280  6.434659749E-11 -2.388990717E-03  6.400000304E-02  3.731408997E+02 
       281 -1.683705259E-12 -3.428673372E-04  6.400000304E-02  3.731415100E+02 
       282 -3.004915761E-12  6.292769103E-05  6.400000304E-02  3.731415710E+02 
       283  8.121857353E-11  3.070792882E-03  6.400000304E-02  3.731398926E+02 
       284  4.845961132E-11  5.433392711E-03  6.400000304E-02  3.731374512E+02 
       285 -7.781572609E-11  7.411433384E-03  6.400000304E-02  3.731347656E+02 
       286 -1.731449983E-10  1.187863108E-02  6.400000304E-02  3.731255798E+02 
       287  3.271503901E-11  1.613201760E-02  6.400000304E-02  3.731137695E+02 
       288 -6.458690527E-11  2.033977024E-02  6.400000304E-02  3.731004333E+02 
       289 -1.691276785E-09  2.500000037E-02  6.400000304E-02  3.730869141E+02 
       290 -3.536804460E-10 -2.500000037E-02  6.800000370E-02  3.730870972E+02 
       291 -2.313105263E-11 -2.035815828E-02  6.800000370E-02  3.731007996E+02 
       292 -4.148409394E-11 -1.615167223E-02  6.800000370E-02  3.731144409E+02 
       293 -1.408616279E-12 -1.219676808E-02  6.800000370E-02  3.731260376E+02 
       294 -1.255306969E-11 -8.720454760E-03  6.800000370E-02  3.731339722E+02 
       295  1.148303674E-11 -5.612934940E-03  6.800000370E-02  3.731387634E+02 
       296  3.926267644E-11 -5.501045845E-03  6.800000370E-02  3.731389160E+02 
       297  6.434659749E-11 -2.388990717E-03  6.800000370E-02  3.731413574E+02 
       298  1.173947571E-11 -3.428674827E-04  6.800000370E-02  3.731419678E+02 
       299 -2.595854087E-12  6.292769831E-05  6.800000370E-02  3.731420593E+02 
       300  8.121857353E-11  3.070792882E-03  6.800000370E-02  3.731404724E+02 
       301  4.845961132E-11  5.433392711E-03  6.800000370E-02  3.731380615E+02 
       302 -7.781572609E-11  7.411433384E-03  6.800000370E-02  3.731354065E+02 
       303 -1.731449983E-10  1.187863108E-02  6.800000370E-02  3.731261597E+02 
       304  6.181886947E-11  1.613201760E-02  6.800000370E-02  3.731142578E+02 
       305 -6.379244355E-12  2.033977024E-02  6.800000370E-02  3.731007996E+02 
       306 -1.612594613E-09  2.500000037E-02  6.800000370E-02  3.730870361E+02 
       307 -4.323625902E-10 -2.500000037E-02  7.199999690E-02  3.730871582E+02 
       308  5.742788189E-11 -2.035816014E-02  7.200000435E-02  3.731011963E+02 
